ring,hole,order,x,y
6,0,476,386078.1316,2395332.8581
6,0,477,386711.9367,2398097.3612
6,0,478,386496.2183,2399750.7847
6,0,479,388506.8495,2402834.1097
6,0,480,389422.0797,2405545.7123
6,0,481,389975.7645,2414104.1644
6,0,482,390984.7662,2416001.5316
6,0,483,394556.3626,2419885.3438
6,0,484,395831.6095,2420078.184
6,0,485,400730.739,2418182.8391
6,0,486,402486.6309,2418092.1554
6,0,487,407058.5898,2419757.0044
6,0,488,408118.5499,2421755.4651
6,0,489,408960.5545,2421926.4001
6,0,490,410782.0946,2420539.3125
6,0,491,413922.217,2421529.646
6,0,492,419088.8849,2421105.9537
6,0,493,420528.551,2419798.3523
6,0,494,421747.9916,2419483.4608
6,0,495,424689.6256,2421110.7146
6,0,496,426279.1231,2423227.2355
6,0,497,427281.0859,2423502.995
6,0,498,428321.7211,2423088.0282
6,0,499,430310.8184,2420403.7288
6,0,500,432328.4254,2421098.5582
6,0,501,434689.3362,2420240.5518
6,0,502,436147.3636,2421168.6321
6,0,503,436597.7144,2423223.0238
6,0,504,436379.9165,2424545.8823
6,0,505,435242.0164,2425495.3555
6,0,506,435197.6332,2426384.9456
6,0,507,435948.5138,2427891.8371
6,0,508,435704.5653,2428972.4056
6,0,509,433273.3935,2430618.5135
6,0,510,433001.9514,2431637.151
6,0,511,433972.3306,2435008.3148
6,0,512,432795.7324,2437584.2531
6,0,513,432847.7687,2443681.5047
6,0,514,434266.9394,2445981.9295
6,0,515,434379.0975,2447200.5388
