x_utm,y_utm,cls
523526.0,2495246.0,1
525506.0,2495246.0,1
526496.0,2495246.0,1
527486.0,2495246.0,1
528476.0,2495246.0,0
529466.0,2495246.0,1
531446.0,2495246.0,0
575006.0,2495246.0,1
575996.0,2495246.0,1
576986.0,2495246.0,0
577976.0,2495246.0,0
579956.0,2495246.0,0
580946.0,2495246.0,0
581936.0,2495246.0,0
583916.0,2495246.0,0
584906.0,2495246.0,0
585896.0,2495246.0,0
586886.0,2495246.0,0
589856.0,2495246.0,2
590846.0,2495246.0,0
591836.0,2495246.0,0
593816.0,2495246.0,2
594806.0,2495246.0,2
595796.0,2495246.0,2
596786.0,2495246.0,0
598766.0,2495246.0,0
475016.0,2494256.0,0
476996.0,2494256.0,0
477986.0,2494256.0,0
478976.0,2494256.0,0
479966.0,2494256.0,0
481946.0,2494256.0,2
482936.0,2494256.0,0
483926.0,2494256.0,0
484916.0,2494256.0,0
485906.0,2494256.0,0
486896.0,2494256.0,0
487886.0,2494256.0,0
488876.0,2494256.0,1
489866.0,2494256.0,1
490856.0,2494256.0,1
491846.0,2494256.0,0
493826.0,2494256.0,2
494816.0,2494256.0,2
495806.0,2494256.0,2
496796.0,2494256.0,0
497786.0,2494256.0,0
498776.0,2494256.0,1
499766.0,2494256.0,1
500756.0,2494256.0,1
501746.0,2494256.0,1
502736.0,2494256.0,1
503726.0,2494256.0,0
504716.0,2494256.0,0
505706.0,2494256.0,0
506696.0,2494256.0,1
507686.0,2494256.0,1
508676.0,2494256.0,1
509666.0,2494256.0,1
510656.0,2494256.0,0
511646.0,2494256.0,0
512636.0,2494256.0,0
513626.0,2494256.0,0
515606.0,2494256.0,0
516596.0,2494256.0,1
517586.0,2494256.0,1
518576.0,2494256.0,1
519566.0,2494256.0,1
520556.0,2494256.0,1
521546.0,2494256.0,1
522536.0,2494256.0,1
523526.0,2494256.0,1
524516.0,2494256.0,1
525506.0,2494256.0,1
527486.0,2494256.0,0
528476.0,2494256.0,0
529466.0,2494256.0,0
530456.0,2494256.0,0
531446.0,2494256.0,0
532436.0,2494256.0,0
561146.0,2494256.0,0
575006.0,2494256.0,1
575996.0,2494256.0,1
576986.0,2494256.0,0
577976.0,2494256.0,0
578966.0,2494256.0,0
579956.0,2494256.0,0
580946.0,2494256.0,0
582926.0,2494256.0,1
583916.0,2494256.0,1
584906.0,2494256.0,0
585896.0,2494256.0,0
589856.0,2494256.0,2
590846.0,2494256.0,2
593816.0,2494256.0,2
594806.0,2494256.0,2
597776.0,2494256.0,0
598766.0,2494256.0,0
475016.0,2493266.0,0
476006.0,2493266.0,0
477986.0,2493266.0,0
478976.0,2493266.0,0
480956.0,2493266.0,0
481946.0,2493266.0,0
482936.0,2493266.0,0
483926.0,2493266.0,0
484916.0,2493266.0,0
485906.0,2493266.0,1
486896.0,2493266.0,0
487886.0,2493266.0,0
488876.0,2493266.0,0
489866.0,2493266.0,0
491846.0,2493266.0,0
492836.0,2493266.0,0
493826.0,2493266.0,0
494816.0,2493266.0,2
495806.0,2493266.0,0
496796.0,2493266.0,0
497786.0,2493266.0,0
498776.0,2493266.0,1
499766.0,2493266.0,1
500756.0,2493266.0,1
501746.0,2493266.0,1
502736.0,2493266.0,1
503726.0,2493266.0,1
504716.0,2493266.0,0
505706.0,2493266.0,0
506696.0,2493266.0,1
507686.0,2493266.0,1
508676.0,2493266.0,1
509666.0,2493266.0,1
510656.0,2493266.0,1
511646.0,2493266.0,1
513626.0,2493266.0,0
514616.0,2493266.0,0
515606.0,2493266.0,1
516596.0,2493266.0,1
517586.0,2493266.0,1
518576.0,2493266.0,1
519566.0,2493266.0,1
520556.0,2493266.0,1
521546.0,2493266.0,1
522536.0,2493266.0,1
523526.0,2493266.0,1
524516.0,2493266.0,1
525506.0,2493266.0,1
526496.0,2493266.0,0
527486.0,2493266.0,0
529466.0,2493266.0,0
560156.0,2493266.0,0
561146.0,2493266.0,0
562136.0,2493266.0,0
